,TOXICITY@1_negative_aeg,TOXICITY@1_negative_cross_auc,TOXICITY@1_positive_aeg,TOXICITY@1_positive_cross_auc,TOXICITY@1_subgroup_auc,subgroup,subset_size,TOXICITY@6_negative_aeg,TOXICITY@6_negative_cross_auc,TOXICITY@6_positive_aeg,TOXICITY@6_positive_cross_auc,TOXICITY@6_subgroup_auc
0,0.365225503985,0.741552586342,0.186658774809,0.9761861619,0.930365432099,lesbian,1800,0.259798249727,0.976154750742,0.1531559228,0.999113338022,0.99875
1,0.416308759181,0.647514416315,0.262450343804,0.988574230348,0.935438888889,gay,1800,0.347104235037,0.942864549148,0.29977406626,0.999972183154,0.999290740741
2,0.0810195343022,0.95551988592,0.0188298562275,0.932235114862,0.975320987654,queer,1800,0.154111111111,0.983726597906,0.0573972495702,0.990776136896,0.985411728395
3,-0.215554149086,0.995750742303,-0.124575324269,0.873676824504,0.99294691358,straight,1800,-0.0921094311611,0.999013556806,-0.126323136428,0.974325285201,0.996675925926
4,0.107932567589,0.951039224879,-0.0266672136271,0.915464369433,0.955375308642,bisexual,1800,0.309783989686,0.976326887014,0.000695694639787,0.99232473824,0.982996296296
5,0.461582708236,0.532446085326,0.276028363807,0.992488709173,0.868048148148,homosexual,1800,0.295161353336,0.957760743866,0.214969682763,0.999493866229,0.996346296296
6,0.12532223785,0.943966713549,0.00122526957337,0.92455907173,0.955741975309,heterosexual,1800,0.0969168620097,0.993718393499,0.0298829113924,0.995992342554,0.999199382716
7,-0.242754414752,0.997171745585,-0.114796960463,0.874486052508,0.993719753086,cis,1800,-0.177043366151,0.999686826067,-0.0637079621816,0.97663213002,0.998883950617
8,0.0558547819972,0.96278863885,-0.0359584700734,0.914136740116,0.96877037037,trans,1800,0.0393422800438,0.996370721988,0.0304253789655,0.995799851539,0.999574074074
9,-0.150030278168,0.990452492577,-0.0444130723551,0.900284614784,0.986565432099,nonbinary,1800,-0.253244100641,0.999872597281,-0.112421862791,0.980508360681,0.999859876543
10,0.190120602442,0.853516935405,0.0876449694968,0.951452564871,0.907731421285,black,1596,0.223610188017,0.968622943338,0.115168087094,0.995672351875,0.98378936062
11,0.114125472178,0.88371768165,0.0535821032122,0.940777267845,0.912778500135,white,1596,0.105909586142,0.990565411224,0.00719024554824,0.991668180366,0.993441467076
